am_constituency,st_constituency_number,st_constituency,ward_village_number,ward_village,am_constituency_number,st_constituency_pcode
ကချင်ပြည်နယ်,1,ဆော့လော်,19,ရှဖတ်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,20,လာဇာကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,2,ဆော့လော်,1,ဟန်းကောကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,2,ဆော့လော်,2,ထောလန်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,2,ဆော့လော်,3,လကင်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,2,ဆော့လော်,4,ဂျာရန်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,2,ဆော့လော်,5,ပရှဲကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,2,ဆော့လော်,6,လာချင်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,တနိုင်း,1,မုန်ဒိန်ကောင်းရပ်ကွက်(တနိုင်းမြို့),4,MMR001004
ကချင်ပြည်နယ်,1,တနိုင်း,2,ဟူးကောင်းရပ်ကွက်(တနိုင်းမြို့),4,MMR001004
ကချင်ပြည်နယ်,1,တနိုင်း,3,ကင်ဆားရပ်ကွက်(တနိုင်းမြို့),4,MMR001004
ကချင်ပြည်နယ်,1,တနိုင်း,4,ဒူးကောင်းရပ်ကွက်(တနိုင်းမြို့),4,MMR001004
ကချင်ပြည်နယ်,1,တနိုင်း,5,တိန်ကောက်ကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,1,တနိုင်း,6,နမ်ဖျက်ယန်ကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,1,တနိုင်း,7,နောင်လုံကောင်ရာကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,1,တနိုင်း,8,ဒနိုင်ယန်ကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,1,တနိုင်း,9,အင်တွဲအင်ပရော့ကျေးရွာအုပ်စု,4,MMR001004
ကချင်ပြည်နယ်,1,တနိုင်း,10,ဂေါ့လွန်ယန်ကျေးရွာအုပ်စု,4,MMR001004
