State and Region Parliaments					
					
No.	State/Region Name	Constituency Name and Number	Winning Candidate Name	Party/Independence	Total Vote Counts
57	တနင်္သာရီတိုင်းဒေသကြီး	သရက်ချောင်း (၁)	ဒေါက်တာလဲ့လဲ့မော်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၈၉၇၀
58	တနင်္သာရီတိုင်းဒေသကြီး	သရက်ချောင်း (၂)	ဦးဝေဝေလွင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၄၈၂၅
Mandalay Region Hluttaw					
59	မန္တလေးတိုင်းဒေသကြီး	မဟာအောင်မြေ (၁)	ဦးဇာနည်အောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၇၅၃၁
60	မန္တလေးတိုင်းဒေသကြီး	မဟာအောင်မြေ (၂)	ဦးဇော်ဇော်အောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၅၇၂၄၆
61	မန္တလေးတိုင်းဒေသကြီး	ပြည်ကြီးတံခွန် (၁)	ဒေါက်တာချစ်ကိုကို	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၉၆၆၈
62	မန္တလေးတိုင်းဒေသကြီး	ပြည်ကြီးတံခွန် (၂)	ဦးဇော်မောင်(ခ)ဇော်မောင်မောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၅၉၇၄
63	မန္တလေးတိုင်းဒေသကြီး	တံတားဦး (၁)	ဦးမင်းမင်းနီ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၅၉၅၂
64	မန္တလေးတိုင်းဒေသကြီး	တံတားဦး (၂)	ဦးဝဏ္ဏအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၅၂၀၉
65	မန္တလေးတိုင်းဒေသကြီး	ကျောက်ပန်းတောင်း (၁)	ဦးအေးခိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၅၂၀၁၈
66	မန္တလေးတိုင်းဒေသကြီး	ကျောက်ပန်းတောင်း (၂)	ဦးမျိုးဆွေဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၃၇၃၀
67	မန္တလေးတိုင်းဒေသကြီး	ဝမ်းတွင်း (၁)	ဦးစိုးမင်းထက်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၁၇၆၈
68	မန္တလေးတိုင်းဒေသကြီး	ဝမ်းတွင်း (၂)	ဦးအောင်သူ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၃၇၀၆
Irrawaddy Region Hluttaw					
69	ဧရာဝတီတိုင်းဒေသကြီး	ဇလွန် (၁)	ဦးလင်းနိုင်ထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၇၃၀၀
70	ဧရာဝတီတိုင်းဒေသကြီး	ဇလွန် (၂)	ဦးခိုင်ဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၈၁၀၁
71	ဧရာဝတီတိုင်းဒေသကြီး	လေးမျက်နှာ (၁)	ဦးစိုးခိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၇၃၁၃
72	ဧရာဝတီတိုင်းဒေသကြီး	လေးမျက်နှာ (၂)	ဦးစိုးသန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၆၇၁၇
73	ဧရာဝတီတိုင်းဒေသကြီး	ကြံခင်း (၁)	ဦးသော်ဇင်ဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၉၇၇၀
74	ဧရာဝတီတိုင်းဒေသကြီး	ကြံခင်း (၂)	ဦးကျော်မျိုးလင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၉၆၃၁
75	ဧရာဝတီတိုင်းဒေသကြီး	အင်္ဂပူ (၁)	ဦးအောင်ကျော်ခိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၇၇၇၆
76	ဧရာဝတီတိုင်းဒေသကြီး	အင်္ဂပူ (၂)	ဦးဗိုလ်ဗိုလ်ဇင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၅၀၈၃
77	ဧရာဝတီတိုင်းဒေသကြီး	ညောင်တုန်း (၁)	ဒေါ်နီနီမိုး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၂၈၄၀
78	ဧရာဝတီတိုင်းဒေသကြီး	ညောင်တုန်း (၂)	ဦးကျော်ဆန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၂၉၁၄
