state_or_region,constituency_number,constituency_name,ward_village_number,ward_village
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,18,ရွှေဂွန်းကျေးရွာ အုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,19,ကိုမောင်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,20,မြလေးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,21,အင်းနိုသိပ္ပံကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,22,တဝန်ဖန်ရကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,23,ကျုံပကို ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,24,ဂျို့ချောင်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,25,ဥဒေါင်း ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,26,တခင်းလုံးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,27,သာယာကုန်း (ကပ္ပလီ)ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,28,နောကောကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,29,ထီလုံကျေး ရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,30,ဝင်းစိန်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,31,နောင်တိုင်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,32,ထသိန်ကြိုးဝိုင်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,33,ပတ်ကျောကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,1,အမှတ်(၁)ရပ်ကွက်(ပိုင်ကျုံမြို့)
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,2,အမှတ်(၂)ရပ်ကွက်(ပိုင်ကျုံ မြို့)
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,3,အမှတ်(၃)ရပ်ကွက်(ပိုင်ကျုံမြို့)
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,4,အမှတ်(၄)ရပ်ကွက် (ပိုင်ကျုံမြို့)
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,5,အမှတ်(၅)ရပ်ကွက်(ပိုင်ကျုံမြို့)
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,6,အမှတ်(၁)ရပ် ကွက်(ရှမ်းရွာသစ်မြို့)
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,7,အမှတ်(၂)ရပ်ကွက်(ရှမ်းရွာသစ်မြို့)
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,8,အမှတ်(၃)ရပ်ကွက်(ရှမ်းရွာသစ်မြို့)
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,9,အမှတ်(၄)ရပ်ကွက် (ရှမ်း ရွာသစ်မြို့)
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,10,ကစိုကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,လှိုင်းဘွဲ့မြို့နယ်,11,နောင်ခလုံးကျေးရွာအုပ်စု
